"TOA5","Blynken","CR300","36593","CR300-CELL210.11.3.0","CPU:blynken.260517.dld","37357","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-05-18 09:00:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2418051,"NAN",-0.1702705,5.922344,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.2060217,0.2460688,"NAN","NAN","NAN","NAN","NAN",0,0.4192894,"NAN",-1.096582,"NAN","NAN",0.8024994,13.922,"NAN",68.35432,-0.1723697,0,"NAN"
"2026-05-18 10:00:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-1.67664,"NAN",-1.180633,5.923919,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.09850964,0.2102043,"NAN","NAN","NAN","NAN","NAN",0,0.5518481,"NAN",-0.7884078,"NAN","NAN",1.799982,13.6655,"NAN",70.21469,-0.1599531,0,"NAN"
"2026-05-18 11:00:00",2,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.6833992,"NAN",-0.4812257,5.923919,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.008099,0.8472154,"NAN","NAN","NAN","NAN","NAN",0,1.910881,"NAN",2.371094,"NAN","NAN",1.656443,13.58263,"NAN",55.85534,0.601029,0,"NAN"
"2026-05-18 12:00:00",3,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.6760521,"NAN",-0.4760522,5.925495,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.751346,1.095152,"NAN","NAN","NAN","NAN","NAN",0,2.525535,"NAN",3.80005,"NAN","NAN",1.608249,13.63788,"NAN",49.38796,0.6101865,0,"NAN"
"2026-05-18 13:00:00",4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.6831179,"NAN",-0.4810276,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.645363,1.059797,"NAN","NAN","NAN","NAN","NAN",0,2.317754,"NAN",3.316999,"NAN","NAN",1.631357,13.63788,"NAN",48.3772,0.6082318,0,"NAN"
"2026-05-18 14:00:00",5,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.6726751,"NAN",-0.4736742,5.925495,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.951069,1.161777,"NAN","NAN","NAN","NAN","NAN",0,2.657669,"NAN",4.107238,"NAN","NAN",1.646098,13.64577,"NAN",46.91234,0.6099228,0,"NAN"
"2026-05-18 15:00:00",6,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.674387,"NAN",-0.4748797,5.925495,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.236475,1.256984,"NAN","NAN","NAN","NAN","NAN",0,3.395368,"NAN",5.822252,"NAN","NAN",1.615427,13.67339,"NAN",46.39964,0.6149971,0,"NAN"
"2026-05-18 16:00:00",7,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.684186,"NAN",-0.4817798,5.922344,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.116678,0.8834361,"NAN","NAN","NAN","NAN","NAN",0,2.519359,"NAN",3.785692,"NAN","NAN",1.657377,13.68523,"NAN",51.47173,0.6208276,0,"NAN"
"2026-05-18 17:00:00",8,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7077456,"NAN",-0.4983696,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.189966,1.241469,"NAN","NAN","NAN","NAN","NAN",0,2.923828,"NAN",4.72601,"NAN","NAN",1.618448,13.67734,"NAN",46.24949,0.5890286,0,"NAN"
"2026-05-18 18:00:00",9,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.8098211,"NAN",0.5702462,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.133385,0.8890091,"NAN","NAN","NAN","NAN","NAN",0,2.163762,"NAN",2.958995,"NAN","NAN",1.668876,13.69707,"NAN",49.05836,0.5632908,0,"NAN"
"2026-05-18 19:00:00",10,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7144384,"NAN",-0.5030825,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.071441,1.201931,"NAN","NAN","NAN","NAN","NAN",0,2.634341,"NAN",4.053006,"NAN","NAN",1.638627,13.64577,"NAN",46.13962,0.5760306,0,"NAN"
"2026-05-18 20:00:00",11,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7258959,"NAN",-0.5111505,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.364253,0.9660233,"NAN","NAN","NAN","NAN","NAN",0,2.575457,"NAN",3.91611,"NAN","NAN",1.651463,13.61026,"NAN",45.68185,0.5707813,0,"NAN"
"2026-05-18 21:00:00",12,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7132158,"NAN",-0.5022216,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.7181,1.084062,"NAN","NAN","NAN","NAN","NAN",0,2.620577,"NAN",4.021006,"NAN","NAN",1.625882,13.06964,"NAN",45.68551,0.5820321,0,"NAN"
"2026-05-18 22:00:00",13,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.8294458,"NAN",0.5840651,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.683716,1.072592,"NAN","NAN","NAN","NAN","NAN",0,2.99847,"NAN",4.899539,"NAN","NAN",1.799982,13.14461,"NAN",48.33326,0.5769805,0,"NAN"
"2026-05-18 23:00:00",14,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7315617,"NAN",-0.5151401,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.667866,1.067304,"NAN","NAN","NAN","NAN","NAN",0,2.560142,"NAN",3.880505,"NAN","NAN",1.627494,13.08542,"NAN",46.25681,0.5697631,0,"NAN"
"2026-05-19 00:00:00",15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.8166685,"NAN",0.5750678,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.931089,1.155112,"NAN","NAN","NAN","NAN","NAN",0,2.504952,"NAN",3.752201,"NAN","NAN",1.65723,13.02228,"NAN",46.23117,0.5703442,0,"NAN"
"2026-05-19 01:00:00",16,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7504892,"NAN",-0.5284683,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.821136,1.118433,"NAN","NAN","NAN","NAN","NAN",0,2.562449,"NAN",3.88587,"NAN","NAN",1.632566,13.06569,"NAN",46.46189,0.5526103,0,"NAN"
"2026-05-19 02:00:00",17,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7609949,"NAN",-0.535866,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.756932,1.097015,"NAN","NAN","NAN","NAN","NAN",0,2.626764,"NAN",4.03539,"NAN","NAN",1.636301,13.03807,"NAN",46.52048,0.5460387,0,"NAN"
"2026-05-19 03:00:00",18,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.768795,"NAN",-0.5413586,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.082834,0.8721462,"NAN","NAN","NAN","NAN","NAN",0,2.101353,"NAN",2.813906,"NAN","NAN",1.619858,13.01439,"NAN",45.5024,0.5396573,0,"NAN"
"2026-05-19 04:00:00",19,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.763813,"NAN",0.5378489,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.296645,0.9434704,"NAN","NAN","NAN","NAN","NAN",0,2.156162,"NAN",2.941327,"NAN","NAN",1.657212,13.08937,"NAN",46.02243,0.5356351,0,"NAN"
"2026-05-19 05:00:00",20,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7915154,"NAN",-0.5573575,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.648439,0.7272382,"NAN","NAN","NAN","NAN","NAN",0,1.768899,"NAN",2.041012,"NAN","NAN",1.63187,13.07753,"NAN",45.55367,0.5222704,0,"NAN"
"2026-05-19 06:00:00",21,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7457266,"NAN",0.5251132,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.540276,0.6911566,"NAN","NAN","NAN","NAN","NAN",0,1.782761,"NAN",2.073238,"NAN","NAN",1.657414,13.25116,"NAN",47.07347,0.5241061,0,"NAN"
"2026-05-19 07:00:00",22,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7971592,"NAN",-0.5613317,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.64033,0.7245333,"NAN","NAN","NAN","NAN","NAN",0,1.950286,"NAN",2.462702,"NAN","NAN",1.623429,13.27089,"NAN",46.16892,0.5140457,0,"NAN"
"2026-05-19 08:00:00",23,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.7942286,"NAN",-0.559268,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.372151,0.6350726,"NAN","NAN","NAN","NAN","NAN",0,1.602458,"NAN",1.654068,"NAN","NAN",1.63013,13.42084,"NAN",45.54269,0.5157231,0,"NAN"
"2026-05-19 09:00:00",24,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8040581,"NAN",-0.5661896,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.400508,0.644532,"NAN","NAN","NAN","NAN","NAN",0,1.512144,"NAN",1.444103,"NAN","NAN",1.613193,13.42084,"NAN",45.67819,0.5122399,0,"NAN"
"2026-05-19 10:00:00",25,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7331038,"NAN",0.5162247,5.923919,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.325593,0.6195414,"NAN","NAN","NAN","NAN","NAN",0,1.597327,"NAN",1.642138,"NAN","NAN",1.657359,13.42084,"NAN",47.57885,0.5129994,0,"NAN"
"2026-05-19 11:00:00",26,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8079491,"NAN",-0.5689295,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.5405831,0.3576736,"NAN","NAN","NAN","NAN","NAN",0,1.148435,"NAN",0.598547,"NAN","NAN",1.626432,13.5708,"NAN",44.98238,0.5108086,0,"NAN"
"2026-05-19 12:00:00",27,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7053947,"NAN",0.496713,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.9050174,0.4792436,"NAN","NAN","NAN","NAN","NAN",0,1.242031,"NAN",0.8161417,"NAN","NAN",1.657121,13.59053,"NAN",44.27558,0.4997633,0,"NAN"
"2026-05-19 13:00:00",28,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.837285,"NAN",-0.589587,5.931795,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7630537,0.4318866,"NAN","NAN","NAN","NAN","NAN",0,1.051898,"NAN",0.3741153,"NAN","NAN",1.640238,13.59447,"NAN",44.18769,0.4888439,0,"NAN"
"2026-05-19 14:00:00",29,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8523979,"NAN",-0.6002289,5.93337,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.09867,0.5438433,"NAN","NAN","NAN","NAN","NAN",0,1.289922,"NAN",0.927478,"NAN","NAN",1.636027,13.60631,"NAN",43.88007,0.4773874,0,"NAN"
"2026-05-19 15:00:00",30,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8673468,"NAN",-0.6107554,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.836181,0.7898663,"NAN","NAN","NAN","NAN","NAN",0,2.032917,"NAN",2.654804,"NAN","NAN",1.637143,13.61026,"NAN",43.7702,0.4636248,0,"NAN"
"2026-05-19 16:00:00",31,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6680479,"NAN",0.4704148,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.367909,0.967243,"NAN","NAN","NAN","NAN","NAN",0,2.056422,"NAN",2.70945,"NAN","NAN",1.657304,13.54712,"NAN",44.19135,0.4692988,0,"NAN"
"2026-05-19 17:00:00",32,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8567286,"NAN",-0.6032784,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.811466,0.7816216,"NAN","NAN","NAN","NAN","NAN",0,1.827207,"NAN",2.176566,"NAN","NAN",1.623465,13.33797,"NAN",43.85443,0.4728677,0,"NAN"
"2026-05-19 18:00:00",33,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6743498,"NAN",0.4748524,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.45829,0.9973928,"NAN","NAN","NAN","NAN","NAN",0,2.410305,"NAN",3.532163,"NAN","NAN",1.657285,13.34586,"NAN",44.55756,0.4686026,0,"NAN"
"2026-05-19 19:00:00",34,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8694725,"NAN",-0.6122522,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.064048,1.199465,"NAN","NAN","NAN","NAN","NAN",0,3.291278,"NAN",5.580263,"NAN","NAN",1.617496,13.36165,"NAN",44.70405,0.4614717,0,"NAN"
"2026-05-19 20:00:00",35,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8702202,"NAN",-0.6127787,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.838641,1.124272,"NAN","NAN","NAN","NAN","NAN",0,2.573992,"NAN",3.912706,"NAN","NAN",1.630735,13.36165,"NAN",44.68208,0.4628785,0,"NAN"
"2026-05-19 21:00:00",36,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8627901,"NAN",-0.6075467,5.925495,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",3.765597,1.433491,"NAN","NAN","NAN","NAN","NAN",0,3.225257,"NAN",5.426777,"NAN","NAN",1.61951,13.38533,"NAN",43.90936,0.4654243,0,"NAN"
"2026-05-19 22:00:00",37,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.677743,"NAN",0.4772417,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.145397,0.8930162,"NAN","NAN","NAN","NAN","NAN",0,1.860513,"NAN",2.253997,"NAN","NAN",1.657359,13.16829,"NAN",43.81048,0.4707463,0,"NAN"
"2026-05-19 23:00:00",38,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8502645,"NAN",-0.5987267,5.931795,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.556232,1.030065,"NAN","NAN","NAN","NAN","NAN",0,2.015296,"NAN",2.613839,"NAN","NAN",1.618173,13.07753,"NAN",43.53948,0.4751956,0,"NAN"
"2026-05-20 00:00:00",39,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.671443,"NAN",0.4728055,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.961302,1.16519,"NAN","NAN","NAN","NAN","NAN",0,2.702528,"NAN",4.211526,"NAN","NAN",1.657377,13.13277,"NAN",44.30487,0.467062,0,"NAN"
"2026-05-20 01:00:00",40,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8605289,"NAN",-0.6059545,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.450634,0.994839,"NAN","NAN","NAN","NAN","NAN",0,2.247776,"NAN",3.154313,"NAN","NAN",1.620334,13.13277,"NAN",44.0412,0.4688849,0,"NAN"
"2026-05-20 02:00:00",41,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8629351,"NAN",-0.6076488,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.472432,1.00211,"NAN","NAN","NAN","NAN","NAN",0,2.387902,"NAN",3.480079,"NAN","NAN",1.632969,13.04596,"NAN",43.88739,0.4656513,0,"NAN"
"2026-05-20 03:00:00",42,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8722477,"NAN",-0.6142064,5.925495,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.907486,0.8136526,"NAN","NAN","NAN","NAN","NAN",0,1.617804,"NAN",1.689744,"NAN","NAN",1.621012,13.10515,"NAN",43.44793,0.4593062,0,"NAN"
"2026-05-20 04:00:00",43,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6635427,"NAN",0.4672424,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.144533,0.8927279,"NAN","NAN","NAN","NAN","NAN",0,2.003099,"NAN",2.585483,"NAN","NAN",1.657395,13.1012,"NAN",44.20966,0.463071,0,"NAN"
"2026-05-20 05:00:00",44,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8815813,"NAN",-0.6207789,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.33784,0.9572123,"NAN","NAN","NAN","NAN","NAN",0,2.145201,"NAN",2.915845,"NAN","NAN",1.61788,13.0578,"NAN",43.66766,0.4500842,0,"NAN"
"2026-05-20 06:00:00",45,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6446514,"NAN",0.4539399,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.860818,0.7980847,"NAN","NAN","NAN","NAN","NAN",0,1.793587,"NAN",2.098406,"NAN","NAN",1.657285,13.07358,"NAN",43.77752,0.448259,0,"NAN"
"2026-05-20 07:00:00",46,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8854818,"NAN",-0.6235254,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.447057,0.6600602,"NAN","NAN","NAN","NAN","NAN",0,1.480644,"NAN",1.370872,"NAN","NAN",1.613871,13.24721,"NAN",44.79194,0.4514745,0,"NAN"
"2026-05-20 08:00:00",47,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8965006,"NAN",-0.6312845,5.931795,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.291965,0.6083238,"NAN","NAN","NAN","NAN","NAN",0,1.507524,"NAN",1.433363,"NAN","NAN",1.632511,13.40111,"NAN",44.25727,0.4408424,0,"NAN"
"2026-05-20 09:00:00",48,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.9043512,"NAN",-0.6368127,5.931795,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.246514,0.5931619,"NAN","NAN","NAN","NAN","NAN",0,1.588645,"NAN",1.621953,"NAN","NAN",1.626963,13.42479,"NAN",43.76287,0.4380851,0,"NAN"
"2026-05-20 10:00:00",49,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6294107,"NAN",0.4432079,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.176101,0.5696733,"NAN","NAN","NAN","NAN","NAN",0,1.423723,"NAN",1.238542,"NAN","NAN",1.657359,13.36954,"NAN",45.33028,0.4436964,0,"NAN"
"2026-05-20 11:00:00",50,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.890522,"NAN",-0.6270746,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.838582,0.7906672,"NAN","NAN","NAN","NAN","NAN",0,2.080268,"NAN",2.764888,"NAN","NAN",1.621836,13.45636,"NAN",43.393,0.443603,0,"NAN"
"2026-05-20 12:00:00",51,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6335325,"NAN",0.4461104,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.287674,0.6068922,"NAN","NAN","NAN","NAN","NAN",0,1.477738,"NAN",1.364116,"NAN","NAN",1.657395,13.43268,"NAN",43.6347,0.4415236,0,"NAN"
"2026-05-20 13:00:00",52,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.9062052,"NAN",-0.6381182,5.93022,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.124849,0.5525762,"NAN","NAN","NAN","NAN","NAN",0,1.43191,"NAN",1.257575,"NAN","NAN",1.621817,13.39716,"NAN",42.53239,0.4190591,0,"NAN"
"2026-05-20 14:00:00",53,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.9097109,"NAN",-0.6405868,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.380961,0.6380115,"NAN","NAN","NAN","NAN","NAN",0,1.48403,"NAN",1.378744,"NAN","NAN",1.632328,13.409,"NAN",42.26871,0.4288274,0,"NAN"
"2026-05-20 16:00:00",54,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6195869,"NAN",0.4362904,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.543939,1.025964,"NAN","NAN","NAN","NAN","NAN",0,2.382421,"NAN",3.467339,"NAN","NAN",1.657304,13.40506,"NAN",44.29023,0.4296751,0,"NAN"
"2026-05-20 17:00:00",55,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.9059,"NAN",-0.6379033,5.927069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.875954,0.8031339,"NAN","NAN","NAN","NAN","NAN",0,2.110035,"NAN",2.834091,"NAN","NAN",1.624436,13.409,"NAN",43.28313,0.4316415,0,"NAN"
"2026-05-20 18:00:00",56,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6108513,"NAN",0.4301391,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.087799,0.8738023,"NAN","NAN","NAN","NAN","NAN",0,2.014479,"NAN",2.61194,"NAN","NAN",1.657322,13.41295,"NAN",44.01923,0.4221929,0,"NAN"
"2026-05-20 19:00:00",57,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.9061861,"NAN",-0.6381048,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.841789,0.791737,"NAN","NAN","NAN","NAN","NAN",0,1.980099,"NAN",2.532013,"NAN","NAN",1.623429,13.409,"NAN",42.16617,0.4333693,0,"NAN"
"2026-05-20 20:00:00",58,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.8918924,"NAN",-0.6280396,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.868869,0.8007706,"NAN","NAN","NAN","NAN","NAN",0,2.050306,"NAN",2.695231,"NAN","NAN",1.638297,13.43268,"NAN",42.47013,0.4612203,0,"NAN"
"2026-05-20 21:00:00",59,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.868104,"NAN",-0.6112886,5.923919,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.238056,0.923926,"NAN","NAN","NAN","NAN","NAN",0,1.95762,"NAN",2.479753,"NAN","NAN",1.62634,13.1012,"NAN",42.2211,0.4432906,0,"NAN"
"2026-05-20 22:00:00",60,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.6841698,"NAN",0.4817672,5.928645,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",2.233963,0.9225606,"NAN","NAN","NAN","NAN","NAN",0,1.890949,"NAN",2.324756,"NAN","NAN",1.657359,13.1525,"NAN",44.8542,0.4684186,0,"NAN"
