"TOA5","Wynken","CR300","36593","CR300-CELL210.Std.11.02","CPU:wynken.260205v3.dld","51095","SondeValues"
"TIMESTAMP","RECORD","External_Temp","Conductivity_us","SpConductivity_us","TDS","Salinity","PH_mV","PH","ORP","ODO_Sat","ODO","Pressure_abs","Pressure_gauge","Depth","Sonde_Battery","Turbidity","Ammonia_NH3","Ammonium_NH4","DateTime","Nitrate_NO3_mV","Nitrate_NO3_mgL","Ammonium_NH4plus","Chloride_mgL","Chloride_mV","Turbidity_TSS","Chlorophyll_ugL","Chlorophyll_RFU","PAR_1","PAR_2","Rhodamine_ugL","BGA_PC_cellsmL","BGA_PC_RFU","BGA_PE_cellsmL","BGA_PE_RFU","BGA_PC_ugL","BGA_PE_ugL","fDOM_RFU","fDOM_QSU","WiperPosition","Sonde_External_Voltage","Conductivity_nLF","WiperPeakCurrent","Pressure_Vert_Pos","Chlorophyll","NitraLED"
"TS","RN","DegreesC","us/cm","us/cm","mg/L","ppm","mV","PH","mV","%","mg/L","psi","psi","m","V","FNU","","mg/L","","mV","mg/L","mV","mg/L","mV","TSS","ug/L","RFU","uMoles/m2/s","uMoles/m2/s","ug/L","cells/mL","RFU","cells/mL","RFU","ug/L","ug/L","RFU","QSU","Volts","V","us/cm","mA","m","cells/mL","mg/L"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-05 13:00:00",0,1.698053,13633.32,24567.52,15968.89,14.51814,"NAN","NAN","NAN","NAN","NAN",0.8450279,"NAN",0.5800897,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.4523731,0.0007138699,"NAN","NAN","NAN","NAN","NAN",0,-0.2500821,"NAN",-2.296955,"NAN","NAN",0.7767178,13.93779,24767.84,80.55665,0.5897015,0,"NAN"
"2026-02-05 14:00:00",1,1.853645,28296.1,50718.62,32967.1,32.04574,"NAN","NAN","NAN","NAN","NAN",-0.7092409,"NAN",-0.4868693,5.941245,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.5297552,-0.02180475,"NAN","NAN","NAN","NAN","NAN",0,-0.1156629,"NAN",-1.883649,"NAN","NAN",1.621469,13.96146,51152.73,41.45205,0.566061,0,"NAN"
"2026-02-05 15:00:00",2,1.581749,28043.16,50737.44,32979.34,32.00515,"NAN","NAN","NAN","NAN","NAN",0.8331785,"NAN",0.571955,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.3364427,0.03445024,"NAN","NAN","NAN","NAN","NAN",0,-0.1314569,"NAN",-1.932211,"NAN","NAN",1.657761,13.96146,51135.41,40.92104,0.5664858,0,"NAN"
"2026-02-05 16:00:00",3,1.513104,27980.88,50745.16,32984.35,31.9967,"NAN","NAN","NAN","NAN","NAN",-0.7281504,"NAN",-0.4998587,5.93652,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.328246,0.03683552,"NAN","NAN","NAN","NAN","NAN",0,-0.003572881,"NAN",-1.538999,"NAN","NAN",1.613321,13.93779,51133.76,40.88075,0.5619364,0,"NAN"
"2026-02-05 17:00:00",4,1.459231,27931.65,50750.57,32987.87,31.98954,"NAN","NAN","NAN","NAN","NAN",0.8065882,"NAN",0.5537045,5.938095,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2571543,0.0575236,"NAN","NAN","NAN","NAN","NAN",0,-0.06072891,"NAN",-1.71474,"NAN","NAN",1.657743,13.94963,51131.72,41.07851,0.546334,0,"NAN"
"2026-02-05 18:00:00",5,1.436632,27915.87,50761.78,32995.15,31.99273,"NAN","NAN","NAN","NAN","NAN",-0.7519827,"NAN",-0.5162186,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1589149,0.0861118,"NAN","NAN","NAN","NAN","NAN",0,-0.122925,"NAN",-1.905978,"NAN","NAN",1.621305,13.38533,51139.85,42.13688,0.5425113,0,"NAN"
"2026-02-05 19:00:00",6,1.32794,27810.38,50761.45,32994.94,31.97023,"NAN","NAN","NAN","NAN","NAN",-0.7494068,"NAN",-0.5144562,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2692743,0.05399661,"NAN","NAN","NAN","NAN","NAN",0,0.1074203,"NAN",-1.197722,"NAN","NAN",1.638004,12.88417,51124.17,41.32021,0.5585263,0,"NAN"
"2026-02-05 20:00:00",7,1.434012,27919.08,50772.18,33001.91,31.99942,"NAN","NAN","NAN","NAN","NAN",-0.7341814,"NAN",-0.5039955,5.942821,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1365456,0.09262137,"NAN","NAN","NAN","NAN","NAN",0,0.08134389,"NAN",-1.277901,"NAN","NAN",1.610135,12.91179,51149.96,40.75257,0.5664378,0,"NAN"
"2026-02-05 21:00:00",8,1.3511,27837.56,50770.11,33000.57,31.98101,"NAN","NAN","NAN","NAN","NAN",0.8039045,"NAN",0.5518623,5.93652,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1241548,0.09622716,"NAN","NAN","NAN","NAN","NAN",0,0.1665126,"NAN",-1.016027,"NAN","NAN",1.636356,12.87627,51136.18,41.39346,0.5393704,0,"NAN"
"2026-02-05 22:00:00",9,1.571874,28051.94,50770.66,33000.93,32.02627,"NAN","NAN","NAN","NAN","NAN",-0.6986561,"NAN",-0.4796018,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2094955,0.07139257,"NAN","NAN","NAN","NAN","NAN",0,-0.07013988,"NAN",-1.743677,"NAN","NAN",1.611765,12.83287,51167.55,39.95422,0.5943734,0,"NAN"
"2026-02-05 23:00:00",10,1.643914,28189.44,50892.76,33080.29,32.12533,"NAN","NAN","NAN","NAN","NAN",0.8513336,"NAN",0.5915345,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1252665,0.09590367,"NAN","NAN","NAN","NAN","NAN",0,-0.01285332,"NAN",-1.567534,"NAN","NAN",0.9704463,12.98282,51300.43,74.46281,0.5771065,0,"NAN"
"2026-02-06 00:00:00",11,1.67512,28158.95,50783.06,33008.99,32.05553,"NAN","NAN","NAN","NAN","NAN",-0.7098103,"NAN",-0.4872507,5.934945,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.07638096,0.1545842,"NAN","NAN","NAN","NAN","NAN",0,0.2292283,"NAN",-0.8231918,"NAN","NAN",1.622971,12.6987,51194.07,40.23621,0.5869678,0,"NAN"
"2026-02-06 01:00:00",12,1.593162,15658.51,28319.18,18407.47,16.92583,"NAN","NAN","NAN","NAN","NAN",0.8532572,"NAN",0.5927253,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1082745,0.1008484,"NAN","NAN","NAN","NAN","NAN",0,-0.003970444,"NAN",-1.540221,"NAN","NAN",0.9612176,12.86049,28542.18,73.75601,0.5773863,0,"NAN"
"2026-02-06 02:00:00",13,1.631289,28111.48,50774,33003.1,32.0405,"NAN","NAN","NAN","NAN","NAN",-0.6996326,"NAN",-0.4802687,5.93652,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.213305,0.07028398,"NAN","NAN","NAN","NAN","NAN",0,0.04997134,"NAN",-1.374364,"NAN","NAN",1.608597,12.67107,51179.02,39.59167,0.5732515,0,"NAN"
"2026-02-06 03:00:00",14,1.632906,14011.64,25306.07,16448.94,14.98595,"NAN","NAN","NAN","NAN","NAN",0.8663206,"NAN",0.6027245,5.934945,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1056579,0.1016099,"NAN","NAN","NAN","NAN","NAN",0,0.009315312,"NAN",-1.499371,"NAN","NAN",0.9829526,12.6908,25508.03,72.74525,0.5870239,0,"NAN"
"2026-02-06 04:00:00",15,1.603674,28089.01,50782.05,33008.34,32.04056,"NAN","NAN","NAN","NAN","NAN",-0.686614,"NAN",-0.4713315,5.93652,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2261515,0.06654557,"NAN","NAN","NAN","NAN","NAN",0,-0.006017506,"NAN",-1.546516,"NAN","NAN",1.618283,12.67502,51183.36,38.92149,0.5966296,0,"NAN"
"2026-02-06 05:00:00",16,1.464813,17010.28,30900.95,20085.62,18.59431,"NAN","NAN","NAN","NAN","NAN",0.8403425,"NAN",0.5829837,5.938095,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2564141,0.057739,"NAN","NAN","NAN","NAN","NAN",0,-0.000879705,"NAN",-1.530718,"NAN","NAN",0.9691829,12.64345,31133.5,73.07118,0.5682189,0,"NAN"
"2026-02-06 06:00:00",17,1.427648,27924.86,50793.81,33015.98,32.01316,"NAN","NAN","NAN","NAN","NAN",-0.7386618,"NAN",-0.5070655,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1836573,0.07891163,"NAN","NAN","NAN","NAN","NAN",0,-0.0515793,"NAN",-1.686607,"NAN","NAN",1.626798,12.73421,51170.87,39.71618,0.5449412,0,"NAN"
"2026-02-06 07:00:00",18,1.241306,27758.23,50819.98,33032.98,31.99286,"NAN","NAN","NAN","NAN","NAN",-0.7316103,"NAN",-0.5022279,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2594423,0.05685778,"NAN","NAN","NAN","NAN","NAN",0,-0.007998347,"NAN",-1.552606,"NAN","NAN",1.636979,12.63556,51170.62,39.37194,0.5507516,0,"NAN"
"2026-02-06 08:00:00",19,1.462845,27965.8,50806.21,33024.04,32.02895,"NAN","NAN","NAN","NAN","NAN",-0.7398386,"NAN",-0.5078681,5.938095,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.3652972,0.02605341,"NAN","NAN","NAN","NAN","NAN",0,-0.01115203,"NAN",-1.562303,"NAN","NAN",1.625809,12.78551,51188.29,39.24376,0.5558925,0,"NAN"
"2026-02-06 09:00:00",20,1.496838,27995.38,50800.04,33020.03,32.03156,"NAN","NAN","NAN","NAN","NAN",0.804141,"NAN",0.5520074,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2955464,0.04635127,"NAN","NAN","NAN","NAN","NAN",0,-0.1811449,"NAN",-2.08499,"NAN","NAN",1.657761,13.38138,51186.81,39.3463,0.5411212,0,"NAN"
"2026-02-06 10:00:00",21,1.545424,28042.8,50800.67,33020.43,32.04181,"NAN","NAN","NAN","NAN","NAN",-0.740099,"NAN",-0.5080437,5.942821,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2845773,0.04954335,"NAN","NAN","NAN","NAN","NAN",0,-0.04279649,"NAN",-1.659602,"NAN","NAN",1.602683,14.00093,51194.15,38.35386,0.5519469,0,"NAN"
"2026-02-06 11:00:00",22,1.60204,28092.28,50790.69,33013.95,32.04625,"NAN","NAN","NAN","NAN","NAN",0.7948923,"NAN",0.5456561,5.941245,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.3597178,0.02767706,"NAN","NAN","NAN","NAN","NAN",0,-0.0932188,"NAN",-1.814639,"NAN","NAN",1.657725,14.04828,51191.86,39.00206,0.5438301,0,"NAN"
"2026-02-06 12:00:00",23,1.699304,28181.66,50781.63,33008.06,32.05935,"NAN","NAN","NAN","NAN","NAN",-0.765954,"NAN",-0.5257903,5.938095,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.4457511,0.002640903,"NAN","NAN","NAN","NAN","NAN",0,-0.1650243,"NAN",-2.035423,"NAN","NAN",1.62255,13.99698,51195.89,39.84802,0.5274687,0,"NAN"
"2026-02-06 13:00:00",24,1.589828,28077.4,50785.1,33010.32,32.03992,"NAN","NAN","NAN","NAN","NAN",-0.7806292,"NAN",-0.5358685,5.938095,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.4414144,0.003902897,"NAN","NAN","NAN","NAN","NAN",0,-0.08530855,"NAN",-1.790316,"NAN","NAN",1.63013,14.03249,51184.56,38.50767,0.51508,0,"NAN"
"2026-02-06 14:00:00",25,1.626197,28111.83,50783.58,33009.32,32.04615,"NAN","NAN","NAN","NAN","NAN",-0.7744989,"NAN",-0.5316595,5.938095,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.5220766,-0.01957025,"NAN","NAN","NAN","NAN","NAN",0,-0.07480991,"NAN",-1.758036,"NAN","NAN",1.626541,14.06801,51187.98,39.13756,0.5383728,0,"NAN"
"2026-02-06 15:00:00",26,1.65142,28130.36,50772.96,33002.43,32.04379,"NAN","NAN","NAN","NAN","NAN",0.7731075,"NAN",0.530704,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.3552715,0.02897093,"NAN","NAN","NAN","NAN","NAN",0,-0.04442263,"NAN",-1.664602,"NAN","NAN",1.648808,14.04039,51180.69,37.87778,0.5379986,0,"NAN"
"2026-02-06 16:00:00",27,1.562605,28050.3,50784.05,33009.63,32.0337,"NAN","NAN","NAN","NAN","NAN",-0.8120012,"NAN",-0.5574065,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.2815547,0.05042294,"NAN","NAN","NAN","NAN","NAN",0,0.002139062,"NAN",-1.521436,"NAN","NAN",1.626541,14.05222,51179.76,38.58823,0.4895572,0,"NAN"
"2026-02-06 17:00:00",28,1.489871,27981.02,50786.25,33011.06,32.02057,"NAN","NAN","NAN","NAN","NAN",0.7137203,"NAN",0.489942,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1433293,0.0906473,"NAN","NAN","NAN","NAN","NAN",0,-0.03024656,"NAN",-1.621014,"NAN","NAN",1.657707,13.79967,51171.94,38.95445,0.4887427,0,"NAN"
"2026-02-06 18:00:00",29,1.464966,27962.56,50796.59,33017.78,32.02269,"NAN","NAN","NAN","NAN","NAN",-0.8239384,"NAN",-0.5656019,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1454011,0.09004436,"NAN","NAN","NAN","NAN","NAN",0,0.09912556,"NAN",-1.223226,"NAN","NAN",1.604898,13.01833,51178.89,38.0206,0.4922456,0,"NAN"
"2026-02-06 19:00:00",30,1.375412,27872.13,50790.21,33013.64,31.99996,"NAN","NAN","NAN","NAN","NAN",-0.8289766,"NAN",-0.5690679,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.06600799,0.1131482,"NAN","NAN","NAN","NAN","NAN",0,0.100713,"NAN",-1.218345,"NAN","NAN",1.655015,13.03412,51159.87,39.06432,0.4855127,0,"NAN"
"2026-02-06 20:00:00",31,1.371032,27872.82,50799.05,33019.38,32.00521,"NAN","NAN","NAN","NAN","NAN",-0.8242464,"NAN",-0.5658184,5.93967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",-0.1920246,0.07647669,"NAN","NAN","NAN","NAN","NAN",0,0.07139429,"NAN",-1.308493,"NAN","NAN",1.613284,12.86838,51168.16,38.10849,0.489901,0,"NAN"
