"TOA5","Wynken","CR300","36592","CR300-CELL210.Std.11.02","CPU:wynken.250927.dld","56172","Ai1"
"TIMESTAMP","RECORD","BatteryVoltage","InternalTemperature","InternalHumidity","CurrentAverage","CurrentMaximum","ProcessingTime","SerialNumber","DataloggerOSVersion","Ai1OSVersion","ProgramSignature","ProgramCounter","StartUpCode","WatchdogErrors","SkippedScans","MemoryFree","CellUsageToday","CellUsageThisMonth","CellRSSI","CellNetBand","Latitude","Longitude","GPSSatellitesInView","Pressure_mH2O","ReadAttempts_Max"
"TS","RN","Volts","°C","%","mA (-=Charge, +=Discharge)","mA (-=Charge, +=Discharge)","µS","","","","(0-65535)","Cycles","(0=Ok, -1=Power, -2=Watchdog)","Errors Since Compile","Scans Skipped","Bytes","kB","kB","dBm","","Decimal Degrees (N=+,S=-)","Decimal Degrees (E=+,W=-)","GPS Satellites visible","mH2O",""
"","","Smp","Smp","Smp","Avg:mA","Max:mA","Smp","Smp","Smp","Smp","Smp:0-65535)","Smp","Smp:0=Ok","Smp:Watchdog Errors Since Compile","Smp:Scans Skipped","Smp:Bytes","Smp:kB","Smp:kB","Smp:dBm","Smp:band","Smp","Smp","Smp","Smp","Max"
"2025-09-27 12:00:00",0,0,23.2,35,-314.7,0,204,36592,11.02,0.75,56172,10,0,0,0,29480,36.65,28727,0,0,44.31818,-68.92741,0,-0.938,0
"2025-09-27 13:00:00",1,12.8,22.55,63,0.058,41,203,36592,11.02,0.75,56172,704,-1,0,0,29480,43.8,28734,0,4,44.31818,-68.92741,0,-13.01,0
"2025-09-27 14:00:00",2,12.83,24.45,62,40.93,41,203,36592,11.02,0.75,56172,1424,-1,0,1,29480,69.95,28760,-85,4,44.31818,-68.92741,0,-13.01,1
"2025-09-27 15:00:00",3,12.8,23.71,61,-11.97,9,204,36592,11.02,0.75,56172,2144,-1,0,2,29480,147.9,28838,-73,13,44.03731,-68.88816,5,-13.01,1
"2025-09-27 16:00:00",4,13.04,22.13,60,8.78,9,211,36592,11.02,0.75,56172,2864,-1,0,3,29480,204.1,28894,-89,4,44.03731,-68.88816,5,-0.02,1
"2025-09-27 17:00:00",5,13.07,21.03,59,-145.9,-61,210,36592,11.02,0.75,56172,3584,-1,0,4,29480,246.4,28936,-79,13,44.04333,-68.89222,4,-0.02,1
"2025-09-27 18:00:00",6,13.02,19.45,61,-60.86,37,204,36592,11.02,0.75,56172,4304,-1,0,5,29480,305.5,28995,-75,13,44.04332,-68.89219,5,-0.02,1
"2025-09-27 19:00:00",7,12.95,17.6,62,37,40,204,36592,11.02,0.75,56172,5024,-1,0,6,29480,372.2,29062,-75,13,44.04335,-68.8922,4,-0.025,1
"2025-09-27 20:00:00",8,12.91,17.01,63,39.97,40,211,36592,11.02,0.75,56172,5744,-1,0,7,29480,436,29126,-79,13,44.04346,-68.89172,4,-0.025,1
"2025-09-27 21:00:00",9,12.86,16.93,62,16.04,42,204,36592,11.02,0.75,56172,6464,-1,0,8,29480,494.9,29185,-79,13,44.04335,-68.89227,5,-0.025,1
"2025-09-27 22:00:00",10,12.84,16.75,63,41.97,42,211,36592,11.02,0.75,56172,7184,-1,0,9,29480,548.6,29239,-51,13,44.04333,-68.89226,5,-0.019,1
"2025-09-27 23:00:00",11,12.82,16.67,64,17.97,18,211,36592,11.02,0.75,56172,7904,-1,0,10,29480,548.6,29239,0,13,44.04333,-68.89228,5,-0.016,1
"2025-09-28 00:00:00",12,12.77,16.34,65,-0.938,44,204,36592,11.02,0.75,56172,8624,-1,0,11,29480,548.6,29239,0,13,44.04335,-68.89231,5,-0.016,1
"2025-09-28 01:00:00",13,12.79,16.48,66,43.94,44,203,36592,11.02,0.75,56172,9344,-1,0,12,29480,548.6,29239,0,13,44.04327,-68.8923,4,-0.013,1
"2025-09-28 02:00:00",14,12.79,16.44,66,0.003,2,203,36592,11.02,0.75,56172,10064,-1,0,12,29480,548.6,29239,0,13,44.04339,-68.8923,5,-0.009,1
"2025-09-28 03:00:00",15,12.77,16.4,67,2.025,20,203,36592,11.02,0.75,56172,10784,-1,0,13,29480,548.6,29239,0,13,44.04336,-68.89227,5,-0.007,1
"2025-09-28 04:00:00",16,12.76,15.8,67,19.98,20,203,36592,11.02,0.75,56172,11504,-1,0,14,29480,548.6,29239,0,13,44.04337,-68.89223,6,-0.007,1
"2025-09-28 05:00:00",17,12.74,15.82,67,7.035,32,204,36592,11.02,0.75,56172,12224,-1,0,15,29480,548.6,29239,0,13,44.04336,-68.89217,4,-0.007,1
"2025-09-28 06:00:00",18,12.74,15.55,67,31.98,32,204,36592,11.02,0.75,56172,12944,-1,0,15,29480,548.6,29239,0,13,44.04334,-68.89223,5,-0.007,1
"2025-09-28 07:00:00",19,12.72,16.55,66,19.99,20,204,36592,11.02,0.75,56172,13664,-1,0,16,29480,548.6,29239,0,13,44.04331,-68.89219,6,-0.014,1
"2025-09-28 08:00:00",20,12.77,17.94,63,12.98,13,204,36592,11.02,0.75,56172,14384,-1,0,16,29480,19.93,29258,-93,4,44.04335,-68.89219,4,-0.014,1
"2025-09-28 09:00:00",21,13.01,19.23,62,-3.217,-3,204,36592,11.02,0.75,56172,15104,-1,0,17,29480,83.9,29322,-77,13,44.04338,-68.89218,6,-0.014,1
"2025-09-28 10:00:00",22,13.22,20.6,61,-159.2,-159,203,36592,11.02,0.75,56172,15824,-1,0,18,29480,153.4,29392,-77,13,44.04343,-68.89231,4,-0.007,1
"2025-09-28 11:00:00",23,13.24,21.13,61,-267.9,-195,204,36592,11.02,0.75,56172,16544,-1,0,19,29480,267.2,29506,-75,13,44.04336,-68.89225,4,-0.006,1
"2025-09-28 12:00:00",24,13.3,21.6,60,-195,-195,204,36592,11.02,0.75,56172,17264,-1,0,20,29480,338.2,29577,-77,13,44.04337,-68.89228,4,-0.005,1
"2025-09-28 13:00:00",25,13.34,21.85,60,-204,-204,204,36592,11.02,0.75,56172,17984,-1,0,21,29480,409.2,29648,-75,4,44.04329,-68.89222,4,-0.005,1
"2025-09-28 14:00:00",26,13.38,22.42,59,-208,-208,211,36592,11.02,0.75,56172,18704,-1,0,22,29480,473.7,29712,-81,13,44.04336,-68.89221,5,-0.005,1
"2025-09-28 15:00:00",27,13.38,22.1,59,-224,-203,210,36592,11.02,0.75,56172,19424,-1,0,23,29480,527.4,29766,-77,13,44.04336,-68.89223,5,-0.013,1
"2025-09-28 16:00:00",28,13.41,22.26,59,-203.1,-203,203,36592,11.02,0.75,56172,20144,-1,0,24,29480,589.1,29828,-75,13,44.04335,-68.89221,4,-0.013,1
"2025-09-28 17:00:00",29,13.36,21.9,59,-251.9,-163,204,36592,11.02,0.75,56172,20864,-1,0,25,29480,648.6,29888,-79,13,44.04333,-68.89218,5,-0.019,1
"2025-09-28 18:00:00",30,13.22,20.35,61,-162.8,-4,211,36592,11.02,0.75,56172,21584,-1,0,26,29480,712.7,29953,-77,13,44.04333,-68.89225,4,-0.019,1
"2025-09-28 19:00:00",31,13.11,18.93,62,-3.888,77,203,36592,11.02,0.75,56172,22304,-1,0,27,29480,779.6,30021,-83,13,44.04333,-68.89214,4,-0.019,1
"2025-09-28 20:00:00",32,13.12,18.73,62,76.96,77,203,36592,11.02,0.75,56172,23024,-1,0,28,29480,845,30087,-79,13,44.04335,-68.8922,4,-0.019,1
"2025-09-28 21:00:00",33,13.1,17.76,63,44.97,45,204,36592,11.02,0.75,56172,23744,-1,0,29,29480,905,30147,-77,13,44.04331,-68.89214,4,-0.013,1
"2025-09-28 22:00:00",34,13.1,17.77,63,20.02,36,203,36592,11.02,0.75,56172,24464,-1,0,30,29480,969,30212,-75,13,44.0433,-68.89227,4,-0.011,1
"2025-09-28 23:00:00",35,13.09,19.98,63,35.99,36,203,36592,11.02,0.75,56172,25184,-1,0,31,29480,1038,30281,-79,13,44.04326,-68.8923,4,0,1
"2025-09-29 00:00:00",36,13.1,19.74,64,29.98,30,203,36592,11.02,0.75,56172,25904,-1,0,32,29480,0,30346,-97,13,44.04329,-68.89226,4,0.002,1
"2025-09-29 01:00:00",37,13.09,20.14,64,16.01,22,204,36592,11.02,0.75,56172,26624,-1,0,33,29480,62.83,30410,-81,13,44.04331,-68.89237,4,0.015,1
"2025-09-29 02:00:00",38,13.09,19.63,63,21.98,22,203,36592,11.02,0.75,56172,27344,-1,0,34,29480,126,30474,-79,13,44.04333,-68.89231,4,0.019,1
"2025-09-29 03:00:00",39,13.08,18.69,64,4.053,42,204,36592,11.02,0.75,56172,28064,-1,0,35,29480,189.5,30538,-83,13,"NAN","NAN",4,0.023,1
"2025-09-29 04:00:00",40,13.08,18.34,63,41.99,42,203,36592,11.02,0.75,56172,28784,-1,0,36,29480,255.5,30604,-75,13,44.04333,-68.89226,7,0.029,1
"2025-09-29 05:00:00",41,13.07,17.61,63,37.02,51,204,36592,11.02,0.75,56172,29504,-1,0,37,29480,317.3,30667,-91,4,44.04332,-68.89222,6,0.034,1
"2025-09-29 06:00:00",42,13.05,16.93,64,51.04,81,204,36592,11.02,0.75,56172,30224,-1,0,38,29480,386.1,30736,-89,4,"NAN","NAN",4,0.037,1
"2025-09-29 07:00:00",43,13.16,17.23,63,80.8,81,204,36592,11.02,0.75,56172,30944,-1,0,39,29480,446.4,30796,0,13,44.04326,-68.89221,6,0.045,1
"2025-09-29 08:00:00",44,13.28,21.79,62,-43.09,-43,204,36592,11.02,0.75,56172,31664,-1,0,40,29480,510.4,30861,-77,13,44.0433,-68.8922,6,0.045,1
"2025-09-29 09:00:00",45,13.28,22.22,63,-109.9,-73,204,36592,11.02,0.75,56172,32384,-1,0,41,29480,567.2,30918,-51,4,"NAN","NAN",4,0.056,1
"2025-09-29 10:00:00",46,13.4,24.12,61,-73.23,-73,210,36592,11.02,0.75,56172,33104,-1,0,42,29480,632.2,30983,-77,13,44.04326,-68.89227,4,0.06,1
"2025-09-29 11:00:00",47,13.33,23.49,60,-241.9,-152,204,36592,11.02,0.75,56172,33824,-1,0,43,29480,695,31046,-79,13,44.0433,-68.89228,4,0.064,1
"2025-09-29 12:00:00",48,13.36,23.3,61,-152.1,-152,203,36592,11.02,0.75,56172,34544,-1,0,44,29480,749.8,31101,-75,13,44.04336,-68.89233,4,0.067,1
"2025-09-29 13:00:00",49,13.37,23.08,60,-198,-198,203,36592,11.02,0.75,56172,35264,-1,0,45,29480,820,31171,-77,13,44.04341,-68.8923,5,0.067,1
"2025-09-29 14:00:00",50,13.42,22.87,59,-209,-209,204,36592,11.02,0.75,56172,35984,-1,0,46,29480,886,31237,-71,13,44.04338,-68.89225,4,0.067,1
